Document Name,Prompt,Response
Commercial Court Acts,information from commercial court acts,Where the relief sought in a suit or application is for recovery of money the money sought to be recovered in the suit or application inclusive of interest if any computed up to the date of filing of the suit or application as the case may be shall be taken into account for determining such specified value b where the relief sought in a suit appeal or application relates to movable property or to a right
Commercial Court Acts,information from commercial court acts,There in the market value of the movable property as on the date of filing of the suit appeal or application as the case may be shall be taken into account for determining such specified value c where the relief sought in a suit appeal or application relates to immovable property or to a right there in the market value of the immovable property as on the date of filing of the suit appeal
Commercial Court Acts,information from commercial court acts,Or application as the case may be shall be taken into account for determining specified value 1 and d where the relief sought in a suit appeal or application relates to any other intangible right the market value of the said rights as estimated by the plaintiff shall be taken into account for determining specified value 2 32 the aggregate value o
Commercial Court Acts,information from commercial court acts,F the claim and counterclaim if any as set out in the statement of claim and the counterclaim if any in an arbitration of a commercial dispute shall be the basis for determining whether such arbitration is subject to the jurisdiction of a commercial division commercial appellate division or commercial court as the case may be 3
Commercial Court Acts,information from commercial court acts,No appeal or civil revision application under section 115 of the code of civil procedure 19085 of 1908 as the case may be shall lie from an order of a commercial division or commercial court finding that it has jurisdiction to hear a commercial dispute under this act 4 chapter iii a pre institution mediation and settlement 12 a pre institution mediation and settlement 1
Commercial Court Acts,information from commercial court acts,A suit which does not contemplate any urgent interim relief under this act shall not be instituted unless the plaintiff exhausts the remedy of pre institution mediation in accordance with such manner and procedure as may be prescribed by rules made by the central government 2 the central government may by notification authorise the authorities constituted under the legal services authorities act 198739 of 1987
Commercial Court Acts,information from commercial court acts,For the purposes of pre institution mediation 3 notwithstanding anything contained in the legal services authorities act 1987 t he authority authorised by the central government under subsection 2 shall complete the process of mediation within a period of three months from the date of application made by the plaintiff under subsection 1 provided that the period of me
Commercial Court Acts,information from commercial court acts,Diation may be extended for a further period of two months with the consent of the parties provided further that the period during which the parties remained occupied with the pre institution mediation such period shall not be computed for the purpose of limitation under the limitation act 196336 of 19631 insbyact 2 8 o f 2018 s 10 wef 3520182 omittedbys 10 ibid
Commercial Court Acts,information from commercial court acts,Wef 3520183 clause e omitted by s 10 ibidwef 3520184 insbys 11 ibidwef 35201884 if the parties to the commercial dispute arrive at a settlement the same shall be reduced into writing and shall be signed by the parties to the dispute and the mediator 5 thesettlementa
Commercial Court Acts,information from commercial court acts,R rived at under this section shall have the same status and effect as if it is an arbitral award on agreed terms under subsection 4 ofsection 30 of the arbitration and conciliation act 199626 of 1996 chapter iv appeals 13 appeals from decrees of commercial courts and commercial divisions 1 1 any person aggrieved by the judgment or order of a commercial court below the level of a district judge may appeal
Commercial Court Acts,information from commercial court acts,To the commercial appellate court within a period of sixty days from the date of judgment or order 1 a any person aggrieved by the judgment or order of a commercial court at the level of district judge exercising original civil jurisdiction or as the case may be commercial division of a high court may appeal to the commercial appellate division of that high court within a period of sixty days from
Commercial Court Acts,information from commercial court acts,The date of the judgment or order provided that an appeal shall lie from such orders passed by a commercial division or a commercial court that are specifically enumerated under order xliii of the code of civil procedure 19085 of 1908 as amended by this act and section 37 of the arbitration and conciliation act 199626 of 19962
Commercial Court Acts,information from commercial court acts,Notwithstanding anything contained in any other law for the time being in force or letters patent of a high court no appeal shall lie from any order or decree of a commercial division or commercial court otherwise than in accordance with the provisions of this act 14 e xp editio us disposal of appeals the 2 commercial appellate court and the commercial appellate division
Commercial Court Acts,information from commercial court acts,Shall endeavour to dispose of appeals filed before it within a period of six months from the date of filing of such appeal chapter v transfer of pending suits 15 transfer of pending cases 1 all suits and applications including applications under the arbitration and conciliation act 199626 of 1996 relating to a commercial dispute of a specified
Commercial Court Acts,information from commercial court acts,Value pending in a high court where a commercial division has been constituted shall be transferred to the commercial division 2 all suits and applications including applications under the arbitration and conciliation act 199626 of 1996 r e lating to a commercial dispute of a specified value pending in any civil court in any district or area in respect of which a commercial court has been constitute
Commercial Court Acts,information from commercial court acts,D shall be transferred to such commercial court provided that no suit or application where the final judgment has been reserved by the court prior to the constitution of the commercial division or the commercial court shall be transferred either under subsection 1 orsubsection 2 3 where any suit or application including an application under the arbitration and conciliation act 199626 of 1996
Commercial Court Acts,information from commercial court acts,Relating to a commercial dispute of specified value shall stand transferred to the commercial division or commercial court under subsection 1 orsubsection 2 the provisions of this act shall apply to those procedures that were not complete at the time of transfer 4 the commercial division or commercial court as the case may be may hold case management
Commercial Court Acts,information from commercial court acts,Hearings in respect of such transferred suit or application in order to prescribe new timelines or issue such further directions as may be necessary for a speedy and efficacious disposal of such suit or application in accordance 3 with order x va of the code of civil procedure 19085 of 19081 subsbyact 2 8 o f 2 018 s 12 forsubsection 1 wef 3520182 subsbys 13 ibid
Commercial Court Acts,information from commercial court acts,Commercial appellate division we f 3520183 subsbys 14 ibid with order xiv a we f 3520189 provided that the proviso to subrule 1 ofrule 1 of order v of the code of civil procedure 19085 of 1908 shall not apply to such transferred suit or application and the court may in its discretion prescribe a new time period within which the written statement shall be filed 5
Commercial Court Acts,information from commercial court acts,In the event that such suit or application is not transferred in the manner specified in subsection 1 subsection 2 orsubsection 3 the commercial appellate division of the high court may on the application of any of the parties to the suit withdraw such suit or application from the court before which it is pending and transfer the same for trial or disposal to the commercial division or
Commercial Court Acts,information from commercial court acts,Commercial court as the case may be having territorial jurisdiction over such suit and such order of transfer shall be final and binding chapter vi amendments to the provisions of the code of civil procedure 190816 amendments to the code of civil procedure 1908 i n its application to commercial disputes 1 the provisions of the code of civil procedure 19085 of 1908 shall in their application
Commercial Court Acts,information from commercial court acts,To any suit in respect of a commercial dispute of a specified value stand amended in the manner as specified in the schedule 2 the commercial division and commercial court shall follow the provisions of the code of civil procedure 19085 of 1908 as amended by this act in the trial of a suit in respect of a commercial dispute of a specified value 3
Commercial Court Acts,information from commercial court acts,Where any provision of any rule of the jurisdictional high court or any amendment to the code of civil procedure 19085 of 1908 by the state government is in conflict with the provisions of the code of civil procedure 19085 of 1908 as amended by this act the provisions of the code of civil procedure as amended by this act shall prevail chapter vii miscellaneous 17 collection and disclosure of data by 1
Commercial Court Acts,information from commercial court acts,Commercial courts commercial appellate courts commercial divisions and commercial appellate divisions the statistical data regarding the number of suits applications appeals or writ petitions filed before the 1 commercial courts commercial appellate courts commercial division or commercial appellate division as the case may be the
Commercial Court Acts,information from commercial court acts,Pendency of such cases the status of each case and the number of cases disposed of shall be maintained and updated every month by each 1 commercial courts commercial appellate courts commercial division commercial appellate division and shall be published on the website of the relevant high court 18 p ower of high court to issue directions the high court may by notification issue practice
Commercial Court Acts,information from commercial court acts,Directions to supplement the provisions of chapter ii of this actor the code of civil procedure 19085 of 1908 insofar as such provisions apply to the hearing of commercial disputes of a specified value 19 infrastructure facilities the state government shall provide necessary infrastructure to facilitate the working of a commercial court or a commercial division of a high court 20 tra
Commercial Court Acts,information from commercial court acts,In ing and continuous education the state government may in consultation with the high court establish necessary facilities providing for training of judges who may be appointed to the 2 commercial courts commercial appellate courts commercial division or the commercial appellate division in a high court 21 act to have overriding effect save as otherwise provided the provisions of this act shall have
Commercial Court Acts,information from commercial court acts,Effect notwithstanding anything inconsistent there with contained in any other law for the time being in force or in any instrument having effect by virtue of any law for the time being in force other than this act 1 3520182 subsbys 16 ibid 5 201810121 a power of central government to make rules 1 the central government may by
Commercial Court Acts,information from commercial court acts,Notification make rules for carrying out the provisions of this act 2 in particular and without prejudice to the generality of the foregoing power such rules may provide for or any of the following matters namely a the manner and procedure of pre institution mediation under subsection 1 ofsection 12 ab any other matter which is required to be or may be prescribed or in respect of which
Commercial Court Acts,information from commercial court acts,Provision is to be made by rules made by the central government 3 every rule made by the central government under this act shall be laid as soon as may be after it is made before each house of parliament while it is in session for a total period of thirty days which may be comprised in one session or in two or more successive sessions and if before the expiry of the
Commercial Court Acts,information from commercial court acts,Session immediately following the session or the successive sessions aforesaid both houses agree in making any modification in the rule or both houses agree that the rule should not be made the rule shall thereafter have effect only in such modified form or be of no effect as the case may be so however that any such modification or annulment shall be without prejudice to the validity of anything previously done
Commercial Court Acts,information from commercial court acts,Underthatrule 22 p ower to remove difficulties 1 if any difficulty arises in giving effect to the provisions of this act the central government may by order published in the official gazette make such provisions not inconsistent with the provisions of this act as may appear to it to be necessary or expedient for removing the difficulty
Commercial Court Acts,information from commercial court acts,Provided that no such order shall be made under this section after the expiry of a period of two years from the date of commencement of this act 2 every order made under this section shall be laid as soon as may be after it is made before each house of parliament 23 repeal and savings 1 the commercial courts commercial division and commercial appellate division of high courts ordinance 2015 ord 8 of 2015
Commercial Court Acts,information from commercial court acts,Is hereby repealed 2 notwithstanding such repeal anything done or any action taken under the said ordinance shall be deemed to have been done or taken under the corresponding provisions of this act 1 insbyact 2 8 o f 2018 s 17 wef 35201811 schedule see section 161 amendment of section 26 insection 26 of the code of civil procedure 19085 of 1908 hereafter referred to as the code in sub
Commercial Court Acts,information from commercial court acts,Section 2 the following proviso shall be inserted namely rule 15 a 2 substitution of new section for section 35 forsection 35 of the code the following section shall be substituted namely 35 costs 1 in relation to any commercial dispute the court notwithstanding anything contained in any other law for the time being in force or rule has the discretion to determine a whether costs are p
Commercial Court Acts,information from commercial court acts,Ay able by one party to another b The quantum of those costs and c when they are to be paid explanation for the purpose of clause an reasonable costs relating to it he fees and expenses of the witnesses incurred ii legal fees and expenses incurred iii any other expenses incurred in connection with the proceedings 2
Commercial Court Acts,information from commercial court acts,If the court decides to make an order for payment of costs the general rule is that the unsuccessful party shall be ordered to pay the costs of the successful party provided that the court may make an order deviating from the general rule for reasons to be recorded in writing illustration the plaintiff in his suit seeks a money decree for breach of contract and damages the court
Commercial Court Acts,information from commercial court acts,Holds that the plaintiff is entitled to the money decree however it returns a finding that the claim for damages is frivolous and vexatious in such circumstances the court may impose costs on the plaintiff despite the plaintiff being the successful party for having raised frivolous claims for damages 3 in making an order for the payment of costs the court shall have regard to the following
Commercial Court Acts,information from commercial court acts,Circumstances including a the conduct of the parties b whether a party has succeeded on part of its case even if that party has not been wholly successful c whether the party had made a frivolous counterclaim leading to delay in the disposal of the case d whether any reasonable offer to settle is made by a party and unreasonably refused by the other party and e
Commercial Court Acts,information from commercial court acts,Whether the party had made a frivolous claim and instituted a vexatious proceeding wasting the time of the court 4 the orders which the court may make under this provision include an order that a party must pay a 12 b a stated amount in respect of c costs from or until a certain dated costs incurred before proceedings have begun e costs relating to particular steps taken in the proceedings f
Commercial Court Acts,information from commercial court acts,Costs relating to a distinct part of the proceedings and g interest on costs 3 amendment of section 35 ainsection 35 a of the code subsection 2 shallbeomitted 4 amendment of first schedule in the first schedule to the codea in the order vin rule 1 insubrule 1 for the second proviso the following proviso shall be substituted namely
Commercial Court Acts,information from commercial court acts,Period of thirty days he shall be allowed to file the written statement on such other day as may be specified by the court for reasons to be recorded in writing and on payment of such costs as the court deems fit but which shall not be later than one hundred twenty days from the date of service of summons and on expiry of one hundred twenty days from the date of service of
Commercial Court Acts,information from commercial court acts,Summons the defendant shall forfeit the right to file the written statement and the court shall not bin order vii after rule 3 the following rule shall be inserted namely in a commercial dispute where forms of pleadings have been prescribed under the high court rules or practice directions made for the purposes of such commercial disputes pleadings shall be in sii after rule 15 t hefollowingru
Commercial Court Acts,information from commercial court acts,Le shall be inserted namely dings in a commercial dispute 1 notwithstanding anything contained in rule 15 every pleading in a commercial dispute shall be verified by an affidavit in the manner and form prescribed in the appendix to this schedule 2 an affidavit under subrule 1 above shall be signed by the party or by one of the
Commercial Court Acts,information from commercial court acts,Parties to the proceedings or by any other person on behalf of such party or parties who is proved to the satisfaction of the court to be acquainted with the facts of the case and who is duly authorised by such party or parties 3 where a pleading is amended the amendments must be verified in the form and manner referred to in subrule 1 unless the court orders otherwise 4
Commercial Court Acts,information from commercial court acts,Where a pleading is not verified in the manner provided under subrule 1 the party shall not be permitted to rely on such pleading as evidence or any of the matters set out there in 5 the court may strike out a pleading which is not verified by a statement of truth c in order vii after rule 2 the following rule shall be inserted namely 1 where
Commercial Court Acts,information from commercial court acts,The plaintiff seeks interest the plaint shall contain a statement to that effect along with the details set out under sub rules 2 and 3 132 where the plaintiff seeks interest the plaint shall state whether the plaintiff is seeking interest in relation to a commercial transaction within the meaning of section 34 of the code of civil procedure 19085 of 1908
Commercial Court Acts,information from commercial court acts,And furthermore if the plaintiff is doing so under the terms of a contractor under an act in which case the act is to be specified in the plain to ron some other basis and shall state the basis of that 3 pleadings shall also state at he rate at which interest is claimed b the date from which it is claimed c the date to which it is calculated d the total amount of interest clai
Commercial Court Acts,information from commercial court acts,Med to the date of calculation and ed in order vii ii in rule 1 for the proviso the following proviso shall be substituted namely the written statement within the said period of thirty days he shall be allowed to file the written statement on such other day as may be specified by the court for reasons to be recorded in writing and on payment of such costs as the court deems fit b
Commercial Court Acts,information from commercial court acts,Ut which shall not be later than one hundred twenty days from the date of service of summons and on expiry of one hundred twenty days from the date of service of summons the defendant shall forfeit the right to file the written statement and the court shall not allow the written sta ii after rule 3 the following rule shall be inserted namely court or the commercial court 1 denialshall
Commercial Court Acts,information from commercial court acts,Be in the manner provided in sub rules 2 34 and 5 ofthisrule 2 the defendant in his written statement shall state which of the allegations in the particulars of plain the denies which allegations he is unable to admit or deny but which he requires the plaintiff to prove and which allegations he admits 3 where the defendant denies an allegation of fact in a plain the must state his
Commercial Court Acts,information from commercial court acts,Reasons for doing so And if he intends to put forward a different version of events from that given by the plaintiff he must state his own version 4 if the defendant disputes the jurisdiction of the court he must state the reasons for doing so and if he is able give his own statement as to which court ought to have jurisdiction 5 if the defendant dis iii in rule 5 insubrule 1
Commercial Court Acts,information from commercial court acts,After the first proviso the following proviso shall be inserted namely provided under rule 3 a of this order shall be taken to be admitted except as against a iv in rule 101 the following proviso shall be inserted namely 1 act 2 8 o f 2018 s 18 wef 352018141 provided that no court shall make an order to extend the time provided under rule 1 of this order for file
Commercial Court Acts,information from commercial court acts,For order xi of the code the following order shall be substituted namely rder xi disclosure discovery and inspection of documents in suits before the commercial division of a high court or a commercial court 1 disclosure and discovery of documents 1 plaintiff shall file a list of all documents and photocopies of all documents in its power possession control or custody pertaining to the suit along
Commercial Court Acts,information from commercial court acts,With the plaint including a documents referred to and relied on by the plaintiff in the plain tb documents relating to any matter in question in the proceedings in the power possession control or custody of the plaintiff as on the date of filing the plaint irrespective of whether the same c nothing in this rule shall apply to documents produced by plaintiffs and relevant only if or the cross
Commercial Court Acts,information from commercial court acts,Ii in answer to any case set up by the defendant subsequent to the filing of the plain torii i handed over to a witness merely to refresh his memory 2 the list of documents filed with the plaint shall specify whether the documents in the power possession control or custody of the plaintiff are originals office copies or photocopies and the list shall also set out in brief details of parties to each document
Commercial Court Acts,information from commercial court acts,Mode of execution issuance or receipt and line of custody of each document 3 the plaint shall contain a declaration on oath from the plaintiff that all documents in the power possession control or custody of the plaintiff pertaining to the facts and circumstances of the proceedings initiated by him have been disclosed and copies thereof annexed with the plaint and that the plaintiff does
Commercial Court Acts,information from commercial court acts,Not have any other documents in its power possession control or custody explanation a declaration on oath under this subrule shall be contained in the statement of truth as set out in the appendix 4 in case of urgent filings the plaintiff may seek leave to rely on additional documents as part of the above declaration on oath and subject to grant of such leave by court the plaintiff shall file such
Commercial Court Acts,information from commercial court acts,Additional documents in court within thirty days of filing the suit along with a declaration on oath that the plaintiff has produced all documents in its power possession control or custody pertaining to the facts and circumstances of the proceedings initiated by the plaintiff and that the plaintiff does not have any other documents in its power possession control or custody 5
Commercial Court Acts,information from commercial court acts,The plaintiff shall not be allowed to rely on documents which were in the pl possession control or custody and not disclosed along with plaint or within the extended period set out above save and except by leave of court and such leave shall be granted only upon the plaintiff establishing reasonable cause for nondisclosure along with the plaint 6
Commercial Court Acts,information from commercial court acts,The plaint shall set out details of documents which the plaintiff believes to be in the power possession control or custody of the defendant and which the plaintiff wishes to rely upon and seek leave for production thereof by the said defendant 7 the defendant shall file a list of all documents and photocopies of all documents in its power
Commercial Court Acts,information from commercial court acts,Possession control or custody pertaining to the suit along with the written statement or with its counterclaim if any including a the documents referred to and relied on by the defendant in the written statement 1 subsbyact 2 8 o f 2 018 s 185201815 b the documents relating to any matter in question in the proceeding in the power possession
Commercial Court Acts,information from commercial court acts,Control or custody of the defendant irrespective of whether the same is in support of or adverse to the c nothing in this rule shall apply to documents produced by the defendants and relevant only if or the cross ii in answer to any case set up by the plaintiff subsequent to the filing of the plain torii i handed over to a witness merely to refresh his memory 8
Commercial Court Acts,information from commercial court acts,The list of documents filed with the written statement or counterclaim shall specify whether the documents in the power possession control or custody of the defendant are originals office copies or photocopies and the list shall also set out in brief details of parties to each document being produced by the defendant mode of execution issuance or receipt and line of custody of each document 9
Commercial Court Acts,information from commercial court acts,The written statement or counterclaim shall contain a declaration on oath made by the deponent that all documents in the power possession control or custody of the defendant save and except for those set out in subrule 7 ciii pertaining to the facts and circumstances of the proceedings initiated by the plaintiff or in the counterclaim have been disclosed and copies thereof annexed with the written
Commercial Court Acts,information from commercial court acts,Statement or counterclaim and that the defendant does not have in its power possession control or custody any other documents 10 save and except for subrule 7 ciii defendant shall not be allowed to rely on documents written statement or counterclaim save and except by leave of court and such leave shall be granted only upon the defendant establishing reasonable cause for nondisclosure along with the wri
Commercial Court Acts,information from commercial court acts,T ten statement or counterclaim 11 t he written statement or counterclaim shall set out details of documents in the power possession control or custody of the plaintiff which the defendant wishes to rely upon and which have not been disclosed with the plaint and call upon the plaintiff to produce the same 12 duty to disclose documents which have come to the notice of a party shall continue till disposal of the suit
Commercial Court Acts,information from commercial court acts,2 discovery by interrogatories 1 in any suit the plaintiff or defendant by leave of the court may deliver interrogatories in writing for the examination of the opposite parties or any one or more of such parties and such interrogatories when delivered shall have a note at the foot thereof stating which of such interrogatories each of such persons is required to answer provided that no party
Commercial Court Acts,information from commercial court acts,Shall deliver more than one set of interrogatories to the same party without an order for that purpose provided further that interrogatories which do not relate to any matters in question in the suit shall be deemed irrelevant notwithstanding that they might be admissible on the oral cross examination of a witness 2
